API,constrinf,constrinf_2,neuri,symbolic,constrinf,constrinf_2,neuri,symbolic
torch.Tensor.addmm.models,38224,37956,36921,0,776,487,42,0
torch.Tensor.addr.models,37988,37957,36934,0,886,389,54,0
torch.Tensor.bitwise_and.models,38059,37970,37973,0,1051,575,63,0
torch.Tensor.diag.models,38025,37917,36896,0,448,63,20,0
torch.Tensor.diagflat.models,37988,37651,36905,0,7,4,17,0
torch.Tensor.gather.models,38036,38036,36940,0,449,419,100,0
torch.Tensor.new_full.models,38021,38017,37872,0,132,55,13,0
torch.Tensor.view.models,38117,38092,37848,0,1329,826,88,0
torch._C._fft.fft_fftn.models,38129,38064,37872,0,821,476,67,0
torch._C._fft.fft_hfftn.models,38378,38092,37948,0,863,494,58,0
torch._C._fft.fft_ifftn.models,38078,37956,37935,0,1185,649,66,0
torch._C._fft.fft_ifftshift.models,38123,37969,37851,0,1293,640,59,0
torch._C._fft.fft_ihfft.models,38306,37970,37893,0,884,897,95,0
torch._C._fft.fft_ihfft2.models,38267,37937,37929,0,334,198,24,0
torch._C._fft.fft_irfft2.models,38152,37950,37928,0,211,262,29,0
torch._C._fft.fft_irfftn.models,38066,37946,37840,0,253,359,26,0
torch._C._fft.fft_rfft.models,38240,37971,37845,0,664,800,59,0
torch._C._fft.fft_rfft2.models,38177,37962,37927,0,566,667,86,0
torch._C._fft.fft_rfftn.models,38135,37975,37935,0,794,512,39,0
torch._C._linalg.linalg_cholesky.models,38300,37964,37714,0,600,659,81,0
torch._C._linalg.linalg_cholesky_ex.models,38022,37969,37687,0,661,606,57,0
torch._C._linalg.linalg_cond.models,38285,38059,36940,0,697,587,62,0
torch._C._linalg.linalg_det.models,38106,37967,36939,0,748,406,102,0
torch._C._linalg.linalg_eig.models,38204,37960,36926,0,509,564,37,0
torch._C._linalg.linalg_eigh.models,38016,37518,37726,0,621,22,112,0
torch._C._linalg.linalg_eigvals.models,37985,37963,36939,0,766,724,56,0
torch._C._linalg.linalg_eigvalsh.models,38079,37960,36933,0,533,342,46,0
torch._C._linalg.linalg_inv.models,38149,37964,37724,0,878,636,44,0
torch._C._linalg.linalg_inv_ex.models,38099,37961,37787,0,248,251,58,0
torch._C._linalg.linalg_ldl_factor.models,38043,37937,37697,0,646,366,39,0
torch._C._linalg.linalg_ldl_factor_ex.models,38034,37981,36936,0,662,725,29,0
torch._C._linalg.linalg_lstsq.models,37965,37960,36941,0,517,510,62,0
torch._C._linalg.linalg_lu.models,38440,38224,36953,0,708,722,167,0
torch._C._linalg.linalg_lu_factor.models,38034,38020,36930,0,669,499,51,0
torch._C._linalg.linalg_lu_factor_ex.models,38024,37999,36937,0,730,517,100,0
torch._C._linalg.linalg_norm.models,38246,38069,37860,0,245,168,45,0
torch._C._linalg.linalg_qr.models,37984,37967,36950,0,574,508,189,0
torch._C._linalg.linalg_slogdet.models,38122,38169,36928,0,619,546,27,0
torch._C._linalg.linalg_solve.models,38165,38196,38055,0,476,246,61,0
torch._C._linalg.linalg_solve_ex.models,38112,37931,37998,36735,226,288,12,24867
torch._C._linalg.linalg_solve_triangular.models,37926,37919,36900,0,317,176,19,0
torch._C._linalg.linalg_svd.models,38125,37922,37692,0,258,250,31,0
torch._C._linalg.linalg_svdvals.models,38319,36851,36917,0,929,1032,30,0
torch._C._linalg.linalg_tensorinv.models,38339,37967,36946,0,747,694,32,0
torch._C._linalg.linalg_tensorsolve.models,38144,37954,36933,0,217,257,28,0
torch._C._linalg.linalg_vander.models,38262,38232,37904,0,846,578,55,0
torch._C._linalg.linalg_vecdot.models,38268,38187,36947,0,784,557,92,0
torch._C._linalg.linalg_vector_norm.models,38164,38087,37907,0,518,383,219,0
torch._C._nn.adaptive_max_pool2d.models,38311,38088,37761,0,649,630,64,0
torch._C._nn.adaptive_max_pool3d.models,38104,38030,36932,0,270,267,17,0
torch._C._nn.avg_pool2d.models,38355,37976,37791,0,433,593,281,0
torch._C._nn.avg_pool3d.models,38061,37955,36938,0,246,252,38,0
torch._C._nn.gelu.models,38050,38040,37045,0,982,664,79,0
torch._C._nn.gelu_.models,38025,38015,37695,0,644,319,28,0
torch._C._nn.huber_loss.models,38403,38133,36932,0,625,267,31,0
torch._C._nn.l1_loss.models,38141,38231,38041,0,1291,802,64,0
torch._C._nn.log_sigmoid.models,38267,38036,37623,0,987,650,54,0
torch._C._nn.max_pool2d_with_indices.models,38198,37959,36930,0,529,531,25,0
torch._C._nn.mse_loss.models,38242,37979,37735,0,652,679,107,0
torch._C._nn.reflection_pad1d.models,38115,38014,37706,0,583,91,41,0
torch._C._nn.smooth_l1_loss.models,38213,37958,38045,0,614,652,57,0
torch._C._nn.soft_margin_loss.models,38206,38149,36933,0,1265,899,65,0
torch._C._nn.upsample_bilinear2d.models,38203,38151,37889,0,270,255,80,0
torch._C._nn.upsample_nearest2d.models,38426,38148,37894,0,731,850,135,0
torch._C._special.special_chebyshev_polynomial_t.models,37977,37914,37935,0,8,33,60,0
torch._C._special.special_hermite_polynomial_he.models,38087,37542,37936,0,17,2,67,0
torch._C._special.special_i0e.models,37963,37991,37616,0,1245,927,76,0
torch._C._special.special_i1.models,38039,37996,37605,0,890,495,38,0
torch._C._special.special_i1e.models,38285,37993,37625,0,915,503,70,0
torch._C._special.special_laguerre_polynomial_l.models,37987,38095,37596,0,8,73,45,0
torch._C._special.special_log_ndtr.models,38000,37992,37604,0,830,581,84,0
torch._C._special.special_ndtr.models,38006,37979,37615,0,877,608,49,0
torch._C._special.special_ndtri.models,37904,37990,37608,0,1029,532,22,0
torch._C._special.special_scaled_modified_bessel_k0.models,37959,37984,37611,0,1244,615,38,0
torch._C._special.special_scaled_modified_bessel_k1.models,37960,38000,36900,0,1433,918,22,0
torch._C._special.special_spherical_bessel_j0.models,38045,37966,37594,0,241,370,33,0
torch._C._special.special_xlog1py.models,38181,38198,37938,0,1247,566,67,0
torch._C._special.special_zeta.models,37935,38012,37611,0,4,66,46,0
torch.add.models,38221,38261,37811,0,195,149,110,0
torch.addcdiv.models,38123,38126,38117,0,827,655,79,0
torch.asinh.models,38005,37999,37617,0,877,753,65,0
torch.atleast_1d.models,38052,38045,37704,0,1732,1406,36,0
torch.corrcoef.models,38026,37971,37875,0,1006,562,66,0
torch.digamma.models,38024,37998,37620,0,1373,833,83,0
torch.divide.models,38390,38269,38124,0,1437,1222,32,0
torch.exp2.models,38008,37994,37613,0,805,629,37,0
torch.expm1.models,38028,37974,36945,0,426,235,58,0
torch.flip.models,38056,37955,37810,0,1132,686,103,0
torch.fliplr.models,38282,37975,37657,0,1878,1222,196,0
torch.flipud.models,38061,38043,37655,0,960,680,122,0
torch.fmod.models,38105,38251,37492,0,1015,874,60,0
torch.full_like.models,38058,38042,37817,0,943,991,59,0
torch.kthvalue.models,38131,38076,37771,0,877,1196,46,0
torch.lcm.models,38137,38153,37990,0,175,137,12,0
torch.logsumexp.models,38420,36873,37859,0,238,1035,78,0
torch.masked_select.models,38296,38268,37651,0,877,596,65,0
torch.matmul.models,38474,38348,37734,0,567,654,48,0
torch.matrix_exp.models,38521,37965,38085,0,358,674,74,0
torch.max.models,38292,38210,38153,0,523,508,71,0
torch.maximum.models,38145,38131,38057,0,693,845,80,0
torch.minimum.models,38172,38102,38045,0,509,403,43,0
torch.mm.models,38144,38007,37999,0,726,593,60,0
torch.mode.models,38073,37919,37689,0,276,209,16,0
torch.nn.functional.adaptive_max_pool1d_with_indices.models,38357,38119,37807,0,390,298,33,0
torch.nn.functional.adaptive_max_pool2d_with_indices.models,38099,38062,37753,0,450,292,22,0
torch.nn.functional.adaptive_max_pool3d_with_indices.models,38100,38089,37769,0,1223,487,47,0
torch.nn.functional.batch_norm.models,38282,37927,37831,0,327,250,139,0
torch.nn.functional.binary_cross_entropy_with_logits.models,38244,0,37753,0,681,0,83,0
torch.nn.functional.celu.models,38008,37998,37699,0,2115,1402,68,0
torch.nn.functional.cosine_embedding_loss.models,38149,38224,38125,0,1068,572,89,0
torch.nn.functional.gaussian_nll_loss.models,38376,37843,36932,0,1127,1024,53,0
torch.nn.functional.hardsigmoid.models,38212,37585,37628,0,1553,1049,47,0
torch.nn.functional.hardswish.models,38007,37985,37621,0,930,715,66,0
torch.nn.functional.hardtanh.models,38063,37672,37769,0,1359,1016,195,0
torch.nn.functional.huber_loss.models,38336,38461,38165,0,991,499,55,0
torch.nn.functional.softsign.models,38171,38117,37218,0,1413,1241,40,0
torch.nn.functional.tanhshrink.models,38042,38011,37062,0,452,314,86,0
torch.nn.functional.threshold.models,38045,38041,37081,0,1275,891,160,0
torch.nn.functional.triplet_margin_loss.models,38280,38250,36947,0,523,310,109,0
torch.pairwise_distance.models,38237,38205,38028,0,522,347,73,0
torch.quantile.models,38534,37968,38088,0,431,890,108,0
torch.renorm.models,38169,37958,37831,0,307,236,60,0
torch.repeat_interleave.models,38231,37953,37941,0,444,355,57,0
torch.resolve_conj.models,37986,37974,37622,0,1391,713,59,0
torch.resolve_neg.models,37975,37973,36923,0,1286,898,43,0
torch.roll.models,38207,38165,37875,0,739,443,111,0
torch.rot90.models,38234,38212,36935,0,608,561,69,0
torch.round.models,38007,38040,37683,0,1223,982,65,0
torch.rsqrt.models,38070,37998,36965,0,486,359,25,0
torch.rsub.models,38256,38244,38008,0,772,642,28,0
torch.signbit.models,37995,37992,37649,0,1270,713,900,0
torch.where.models,38101,38053,37449,0,246,288,18,0
