API,constrinf,constrinf_2,neuri,symbolic,constrinf,constrinf_2,neuri,symbolic
torch.Tensor.add_.models,38416.0,38250.0,38522.0,36852.0,774.0,336.0,438.0,9112.0
torch.Tensor.addmm_.models,38455.0,38141.0,38020.0,36862.0,743.0,35.0,81.0,8826.0
torch.Tensor.copysign.models,38193.0,38033.0,36933.0,36844.0,757.0,315.0,59.0,9158.0
torch.Tensor.diff.models,38330.0,38213.0,36936.0,36849.0,661.0,643.0,68.0,10192.0
torch.Tensor.div_.models,38141.0,38175.0,38441.0,36861.0,735.0,210.0,213.0,8793.0
torch.Tensor.ge.models,38176.0,37451.0,37009.0,36848.0,771.0,435.0,47.0,8598.0
torch.Tensor.ge_.models,38077.0,37618.0,36927.0,36862.0,667.0,1668.0,33.0,9440.0
torch.Tensor.gt.models,38152.0,37448.0,37344.0,36858.0,553.0,395.0,83.0,7285.0
torch.Tensor.hardshrink.models,38027.0,36938.0,37042.0,36847.0,1127.0,1894.0,91.0,8126.0
torch.Tensor.heaviside.models,38148.0,37907.0,37909.0,36850.0,1226.0,1090.0,75.0,8357.0
torch.Tensor.heaviside_.models,38401.0,37973.0,37978.0,36862.0,776.0,1765.0,103.0,9910.0
torch.Tensor.index_select.models,38124.0,,36927.0,36835.0,688.0,,35.0,9091.0
torch.Tensor.isinf.models,37933.0,37551.0,37615.0,36850.0,1104.0,1426.0,55.0,9203.0
torch.Tensor.isnan.models,38040.0,36894.0,36956.0,36856.0,973.0,1428.0,72.0,8482.0
torch.Tensor.ldexp.models,38192.0,38107.0,37935.0,36865.0,939.0,365.0,67.0,8802.0
torch.Tensor.ldexp_.models,38145.0,38143.0,37970.0,36856.0,425.0,1245.0,32.0,8706.0
torch.Tensor.le.models,38050.0,37380.0,37026.0,36849.0,1134.0,1776.0,66.0,9953.0
torch.Tensor.masked_fill_.models,38197.0,37876.0,38179.0,36849.0,522.0,12.0,257.0,9205.0
torch.Tensor.moveaxis.models,38189.0,37508.0,36942.0,36848.0,166.0,7.0,70.0,9061.0
torch.Tensor.mul_.models,38385.0,38180.0,38208.0,36855.0,914.0,132.0,404.0,10316.0
torch.Tensor.ne.models,38020.0,37461.0,37375.0,36858.0,1079.0,424.0,60.0,9852.0
